movie_id,title,audience,release_date,country,director,producer,actor1,actor2,actor3,genre,screen,running_time,rating,series,holiday
20140181,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,168171,2014-09-04,일본,야쿠와 신노스케,,미즈타 와사비,오오하라 메구미,,애니메이션|어드벤처,277,109,전체관람가,,13
20137585,천안함 프로젝트,21321,2013-09-05,한국,백승우,(주)아우라픽처스,강신일,,,다큐멘터리,33,75,12세이상관람가,,13
20135656,루시,1974893,2014-09-03,미국,뤽 베송,,스칼렛 요한슨,모건 프리먼,최민식,액션,641,89,청소년관람불가,,12
20140868,호스트걸의 비밀섹스,10,2014-08-26,일본,야마가 타카유키,,나루세 코코미,,,멜로/로맨스,1,80,청소년관람불가,,11
20140336,썸타는 시호부인,54,2014-08-28,일본,야마우치 다이스케,,엔도 시호리,쿠보타 야스나리,,성인물(에로),1,54,청소년관람불가,,12
20140252,오오키가의 즐거운 여행 : 신혼지옥편,135,2014-08-29,일본,혼다 류이치,,타케노우치 유타카,,,코미디,1,121,12세이상관람가,,13
20140381,어린 소녀의 비밀애,10,2014-08-13,일본,카나자와 유우타,,미유키 아리스,,,멜로/로맨스|드라마,1,82,청소년관람불가,,12
20140481,몸탐정,10,2014-08-20,일본,야기 카즈스케,,후지사키 리오,,,멜로/로맨스|드라마,1,67,청소년관람불가,,11
20140245,원죄적 정사 2014,54,2014-08-13,한국,소팔석,주식회사 이엔터,이리나,,,멜로/로맨스|스릴러,1,75,청소년관람불가,,12
20149996,아내의 이상한 요구,54,2014-08-06,일본,칸바라 나오토,,타나카 마유코,,,성인물(에로),1,62,청소년관람불가,,9
20149351,신입사원 간보기,54,2014-08-20,일본,칸바라 나오토,,카와세 유키코,,,성인물(에로),1,73,청소년관람불가,,11
20149354,섹시바의 비밀,54,2014-08-13,일본,칸바라 나오토,,나츠노 우미,,,성인물(에로),1,61,청소년관람불가,,12
